Cartell MMID,Make,Model,CC,Fuel,Body,Transmission,Doors,Power,BHP,KW,Technical Variant,Construction From,Mark,Trim,Engine Codes,Aspiration,Cylinders,Valves Per cylinder,Drive
8,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,_E11_,1/02/00,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
12,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
26,TOYOTA,COROLLA,1332,PETROL,SALOON,Manual,4,86BHP,86,63,_E11_,1/04/97,8,,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
34,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,71KW,97,71,,1/08/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
46,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,4,88BHP,88,65,_E10_,1/07/92,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
54,TOYOTA,COROLLA,1331,PETROL,SALOON,Manual,4,75BHP,75,55,_E10_,1/09/95,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
96,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,71KW,97,71,,1/08/02,9,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
98,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,71KW,97,71,,1/08/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
102,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
126,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,66KW,90,66,,1/07/04,9,MC,1ND-TV,Direct Injection,4,2,Front Wheel Drive
142,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
172,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,71KW,97,71,,1/01/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
214,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
236,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,8,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
268,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/01/02,9,LUNA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
288,TOYOTA,COROLLA,1398,PETROL,SALOON,Manual,4,97BHP,97,71,,1/08/02,9,M,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
400,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,71KW,97,71,,1/01/02,9,LUNA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
420,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,66KW,90,66,,1/07/04,9,LUNA,1ND-TV,Direct Injection,4,2,Front Wheel Drive
472,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,T2,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
492,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,66KW,90,66,,1/07/04,9,C,1ND-TV,Direct Injection,4,2,Front Wheel Drive
516,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,110BHP,110,81,,1/01/02,9,LUNA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
546,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,66KW,90,66,,1/07/04,9,TERRA,1ND-TV,Direct Injection,4,2,Front Wheel Drive
596,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,T3,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
694,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,3,97BHP,97,71,,1/01/02,8,TERRA,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
